NH,NIFTY_MIDCAP_400
DHANUKA,NIFTY_MIDCAP_400
FINPIPE,NIFTY_MIDCAP_400
ANURAS,NIFTY_MIDCAP_400
NAZARA,NIFTY_MIDCAP_400
PERSISTENT,NIFTY_MIDCAP_400
ALKYLAMINE,NIFTY_MIDCAP_400
SCI,NIFTY_MIDCAP_400
PFIZER,NIFTY_MIDCAP_400
SOLARA,NIFTY_MIDCAP_400
MGL,NIFTY_MIDCAP_400
BRIGADE,NIFTY_MIDCAP_400
CHAMBLFERT,NIFTY_MIDCAP_400
SPICEJET,NIFTY_MIDCAP_400
ABFRL,NIFTY_MIDCAP_400
L&TFH,NIFTY_MIDCAP_400
UTIAMC,NIFTY_MIDCAP_400
TATAPOWER,NIFTY_MIDCAP_400
FDC,NIFTY_MIDCAP_400
REDINGTON,NIFTY_MIDCAP_400
SUPPETRO,NIFTY_MIDCAP_400
LICHSGFIN,NIFTY_MIDCAP_400
TRITURBINE,NIFTY_MIDCAP_400
VOLTAS,NIFTY_MIDCAP_400
CENTURYPLY,NIFTY_MIDCAP_400
EIDPARRY,NIFTY_MIDCAP_400
BALRAMCHIN,NIFTY_MIDCAP_400
KNRCON,NIFTY_MIDCAP_400
NLCINDIA,NIFTY_MIDCAP_400
GSFC,NIFTY_MIDCAP_400
INDIAMART,NIFTY_MIDCAP_400
3MINDIA,NIFTY_MIDCAP_400
INDHOTEL,NIFTY_MIDCAP_400
ERIS,NIFTY_MIDCAP_400
PRSMJOHNSN,NIFTY_MIDCAP_400
SANOFI,NIFTY_MIDCAP_400
INDIACEM,NIFTY_MIDCAP_400
TRENT,NIFTY_MIDCAP_400
MIDHANI,NIFTY_MIDCAP_400
RECLTD,NIFTY_MIDCAP_400
INDIGOPNTS,NIFTY_MIDCAP_400
IRCTC,NIFTY_MIDCAP_400
COCHINSHIP,NIFTY_MIDCAP_400
ROSSARI,NIFTY_MIDCAP_400
ELGIEQUIP,NIFTY_MIDCAP_400
ABCAPITAL,NIFTY_MIDCAP_400
MHRIL,NIFTY_MIDCAP_400
NOCIL,NIFTY_MIDCAP_400
MPHASIS,NIFTY_MIDCAP_400
VGUARD,NIFTY_MIDCAP_400
KPITTECH,NIFTY_MIDCAP_400
RBLBANK,NIFTY_MIDCAP_400
GODFRYPHLP,NIFTY_MIDCAP_400
RELAXO,NIFTY_MIDCAP_400
RAIN,NIFTY_MIDCAP_400
SONATSOFTW,NIFTY_MIDCAP_400
KARURVYSYA,NIFTY_MIDCAP_400
RHIM,NIFTY_MIDCAP_400
KAJARIACER,NIFTY_MIDCAP_400
ASHOKA,NIFTY_MIDCAP_400
MAHLOG,NIFTY_MIDCAP_400
ANGELONE,NIFTY_MIDCAP_400
QUESS,NIFTY_MIDCAP_400
CGCL,NIFTY_MIDCAP_400
MOIL,NIFTY_MIDCAP_400
JUBLINGREA,NIFTY_MIDCAP_400
GPPL,NIFTY_MIDCAP_400
BASF,NIFTY_MIDCAP_400
TVSMOTOR,NIFTY_MIDCAP_400
CROMPTON,NIFTY_MIDCAP_400
HINDZINC,NIFTY_MIDCAP_400
STARCEMENT,NIFTY_MIDCAP_400
HEIDELBERG,NIFTY_MIDCAP_400
GMMPFAUDLR,NIFTY_MIDCAP_400
IIFL,NIFTY_MIDCAP_400
LAOPALA,NIFTY_MIDCAP_400
POWERINDIA,NIFTY_MIDCAP_400
AARTIIND,NIFTY_MIDCAP_400
BALAMINES,NIFTY_MIDCAP_400
VBL,NIFTY_MIDCAP_400
MRF,NIFTY_MIDCAP_400
JSLHISAR,NIFTY_MIDCAP_400
LTTS,NIFTY_MIDCAP_400
PGHL,NIFTY_MIDCAP_400
IDEA,NIFTY_MIDCAP_400
SUVENPHAR,NIFTY_MIDCAP_400
VTL,NIFTY_MIDCAP_400
NAM-INDIA,NIFTY_MIDCAP_400
ESCORTS,NIFTY_MIDCAP_400
ENDURANCE,NIFTY_MIDCAP_400
PNBHOUSING,NIFTY_MIDCAP_400
GICRE,NIFTY_MIDCAP_400
MCX,NIFTY_MIDCAP_400
CESC,NIFTY_MIDCAP_400
DCMSHRIRAM,NIFTY_MIDCAP_400
FINEORG,NIFTY_MIDCAP_400
AUBANK,NIFTY_MIDCAP_400
NCC,NIFTY_MIDCAP_400
ABBOTINDIA,NIFTY_MIDCAP_400
JKPAPER,NIFTY_MIDCAP_400
JINDALSAW,NIFTY_MIDCAP_400
NESCO,NIFTY_MIDCAP_400
RAILTEL,NIFTY_MIDCAP_400
VMART,NIFTY_MIDCAP_400
SHRIRAMCIT,NIFTY_MIDCAP_400
KEC,NIFTY_MIDCAP_400
CAMS,NIFTY_MIDCAP_400
MASTEK,NIFTY_MIDCAP_400
COROMANDEL,NIFTY_MIDCAP_400
FINCABLES,NIFTY_MIDCAP_400
MINDTREE,NIFTY_MIDCAP_400
ALEMBICLTD,NIFTY_MIDCAP_400
PFC,NIFTY_MIDCAP_400
EDELWEISS,NIFTY_MIDCAP_400
POLYMED,NIFTY_MIDCAP_400
SKFINDIA,NIFTY_MIDCAP_400
CYIENT,NIFTY_MIDCAP_400
VALIANTORG,NIFTY_MIDCAP_400
TIINDIA,NIFTY_MIDCAP_400
AJANTPHARM,NIFTY_MIDCAP_400
JCHAC,NIFTY_MIDCAP_400
BEL,NIFTY_MIDCAP_400
RADICO,NIFTY_MIDCAP_400
CANFINHOME,NIFTY_MIDCAP_400
STAR,NIFTY_MIDCAP_400
MAZDOCK,NIFTY_MIDCAP_400
NATIONALUM,NIFTY_MIDCAP_400
DBL,NIFTY_MIDCAP_400
POONAWALLA,NIFTY_MIDCAP_400
JUSTDIAL,NIFTY_MIDCAP_400
WHIRLPOOL,NIFTY_MIDCAP_400
LALPATHLAB,NIFTY_MIDCAP_400
SUNTECK,NIFTY_MIDCAP_400
WABCOINDIA,NIFTY_MIDCAP_400
HATSUN,NIFTY_MIDCAP_400
SUNDARMFIN,NIFTY_MIDCAP_400
ALKEM,NIFTY_MIDCAP_400
BLUEDART,NIFTY_MIDCAP_400
CHALET,NIFTY_MIDCAP_400
AIAENG,NIFTY_MIDCAP_400
BSOFT,NIFTY_MIDCAP_400
EPL,NIFTY_MIDCAP_400
IIFLWAM,NIFTY_MIDCAP_400
INDOCO,NIFTY_MIDCAP_400
SCHNEIDER,NIFTY_MIDCAP_400
ZENSARTECH,NIFTY_MIDCAP_400
DHANI,NIFTY_MIDCAP_400
INGERRAND,NIFTY_MIDCAP_400
PVR,NIFTY_MIDCAP_400
ROUTE,NIFTY_MIDCAP_400
DALBHARAT,NIFTY_MIDCAP_400
ITI,NIFTY_MIDCAP_400
SWSOLAR,NIFTY_MIDCAP_400
BHARATRAS,NIFTY_MIDCAP_400
RAJESHEXPO,NIFTY_MIDCAP_400
FSL,NIFTY_MIDCAP_400
KPRMILL,NIFTY_MIDCAP_400
ECLERX,NIFTY_MIDCAP_400
LUXIND,NIFTY_MIDCAP_400
OIL,NIFTY_MIDCAP_400
ABB,NIFTY_MIDCAP_400
MOTILALOFS,NIFTY_MIDCAP_400
PNCINFRA,NIFTY_MIDCAP_400
NHPC,NIFTY_MIDCAP_400
ATUL,NIFTY_MIDCAP_400
KEI,NIFTY_MIDCAP_400
SUNDRMFAST,NIFTY_MIDCAP_400
BURGERKING,NIFTY_MIDCAP_400
LODHA,NIFTY_MIDCAP_400
INOXLEISUR,NIFTY_MIDCAP_400
HGS,NIFTY_MIDCAP_400
JMFINANCIL,NIFTY_MIDCAP_400
BEML,NIFTY_MIDCAP_400
TANLA,NIFTY_MIDCAP_400
HFCL,NIFTY_MIDCAP_400
IDFCFIRSTB,NIFTY_BANK
PNB,NIFTY_BANK
FEDERALBNK,NIFTY_BANK
SBIN,NIFTY_BANK
ICICIBANK,NIFTY_BANK
HDFCBANK,NIFTY_BANK
INDUSINDBK,NIFTY_BANK
RBLBANK,NIFTY_BANK
BANDHANBNK,NIFTY_BANK
AUBANK,NIFTY_BANK
AXISBANK,NIFTY_BANK
KOTAKBANK,NIFTY_BANK
NETWORK18,NIFTY_SMALLCAP_250
CREDITACC,NIFTY_SMALLCAP_250
IDBI,NIFTY_SMALLCAP_250
TV18BRDCST,NIFTY_SMALLCAP_250
IEX,NIFTY_SMALLCAP_250
AARTIDRUGS,NIFTY_SMALLCAP_250
BAJAJELEC,NIFTY_SMALLCAP_250
BAJAJCON,NIFTY_SMALLCAP_250
MINDACORP,NIFTY_SMALLCAP_250
IBREALEST,NIFTY_SMALLCAP_250
SEQUENT,NIFTY_SMALLCAP_250
IOB,NIFTY_SMALLCAP_250
CCL,NIFTY_SMALLCAP_250
TTML,NIFTY_SMALLCAP_250
CGPOWER,NIFTY_SMALLCAP_250
NBCC,NIFTY_SMALLCAP_250
PHILIPCARB,NIFTY_SMALLCAP_250
